,permit,city,state,zip,district,date_issued,lat,lng
149,281.0,Nashville,TN,37211,26.0,11/13/2015,36.089132,-86.684578
150,462.0,Nashville,TN,37215,25.0,07/02/2015,36.051316,-86.797959
151,97.0,Nashville,TN,37212,18.0,06/05/2015,36.173256,-86.821456
152,309.0,Nashville,TN,37013,30.0,12/31/2014,36.029335,-86.596832
153,212.0,Nashville,TN,37220,26.0,11/12/2014,36.072880,-86.756955
154,285.0,Nashville,TN,37206,6.0,01/06/2015,36.135950,-86.729624
155,234.0,Nashville,TN,37212,18.0,08/27/2013,36.118256,-86.781456
156,,Nashville,TN,37204,25.0,11/13/2015,36.154305,-86.816748
157,444.0,Nashville,TN,37205,23.0,06/03/2015,36.067469,-86.867263
158,80.0,Nashville,TN,37212,7.0,12/12/2014,36.138256,-86.781456
159,406.0,Nashville,TN,37013,31.0,03/06/2015,36.004335,-86.666832
160,39.0,Nashville,TN,37211,30.0,12/12/2014,36.024132,-86.749578
161,127.0,Nashville,TN,37076,24.0,12/01/2015,36.155185,-86.633300
162,200.0,Nashville,TN,37212,18.0,11/21/2014,36.158256,-86.816456
163,145.0,Nashville,TN,37206,6.0,12/10/2014,36.155950,-86.749624
164,400.0,Nashville,TN,37221,22.0,02/06/2015,36.039367,-86.915290
165,443.0,Nashville,TN,37215,25.0,06/02/2015,36.101316,-86.812959
166,311.0,Nashville,TN,37216,7.0,01/30/2015,36.216134,-86.706204
167,480.0,Nashville,TN,37206,5.0,09/10/2015,36.190950,-86.759624
168,49.0,Nashville,TN,37027,34.0,12/10/2014,35.992450,-86.783709
169,167.0,Nashville,TN,37211,26.0,05/18/2012,36.089132,-86.749578
170,416.0,Nashville,TN,37211,26.0,04/08/2015,36.024132,-86.694578
171,364.0,Nashville,TN,37206,6.0,01/09/2015,36.165950,-86.734624
172,489.0,Nashville,TN,37115,9.0,11/12/2015,36.262567,-86.709171
173,419.0,Nashville,TN,37206,6.0,04/16/2015,36.145950,-86.779624
174,485.0,Nashville,TN,37215,34.0,09/30/2015,36.091316,-86.782959
175,309.0,Nashville,TN,37212,18.0,11/30/2015,36.088256,-86.821456
176,477.0,Nashville,TN,37205,23.0,09/08/2015,36.132469,-86.832263
177,185.0,Nashville,TN,37216,8.0,02/13/2014,36.231134,-86.736204
178,448.0,Nashville,TN,37216,7.0,11/30/2015,36.226134,-86.711204
179,244.0,Nashville,TN,37215,34.0,11/10/2015,36.056316,-86.837959
180,110.0,Nashville,TN,37216,7.0,12/29/2014,36.226134,-86.696204
181,31.0,Nashville,TN,37206,6.0,04/06/2015,36.170950,-86.779624
